rank,name,op,target,all_input_nodes,users,size,runtime,type,mem_cuda,mem_cuda_pre,mem_cuda_peak,first_forward,last_forward,first_backward,last_backward,last_use
0,arg0_1,placeholder,arg0_1,[],"{convolution: None, convolution_backward_19: None, _foreach_addcdiv: None, copy__744: None}",37632.0,0.02252800017595291,NodeType.PARAM,160305664,160305664,160305664,convolution,convolution,convolution_backward_19,copy__744,copy__744
1,arg0_2,placeholder,arg0_2,[],"{cudnn_batch_norm: None, cudnn_batch_norm_backward_19: None, _foreach_addcdiv: None, copy__745: None}",256.0,0.019114667549729347,NodeType.PARAM,160305664,160305664,160305664,cudnn_batch_norm,cudnn_batch_norm,cudnn_batch_norm_backward_19,copy__745,copy__745
2,arg0_3,placeholder,arg0_3,[],"{cudnn_batch_norm: None, _foreach_addcdiv: None, copy__746: None}",256.0,0.08669865876436234,NodeType.PARAM,160305664,160305664,160305664,cudnn_batch_norm,cudnn_batch_norm,_foreach_addcdiv,copy__746,copy__746
3,arg0_4,placeholder,arg0_4,[],"{convolution_1: None, convolution_backward_18: None, _foreach_addcdiv: None, copy__747: None}",147456.0,0.01979733258485794,NodeType.PARAM,160305664,160305664,160305664,convolution_1,convolution_1,convolution_backward_18,copy__747,copy__747
4,arg0_5,placeholder,arg0_5,[],"{cudnn_batch_norm_1: None, cudnn_batch_norm_backward_18: None, _foreach_addcdiv: None, copy__748: None}",256.0,0.01706666685640812,NodeType.PARAM,160305664,160305664,160305664,cudnn_batch_norm_1,cudnn_batch_norm_1,cudnn_batch_norm_backward_18,copy__748,copy__748
5,arg0_6,placeholder,arg0_6,[],"{cudnn_batch_norm_1: None, _foreach_addcdiv: None, copy__749: None}",256.0,0.01740800030529499,NodeType.PARAM,160305664,160305664,160305664,cudnn_batch_norm_1,cudnn_batch_norm_1,_foreach_addcdiv,copy__749,copy__749
6,arg0_7,placeholder,arg0_7,[],"{convolution_2: None, convolution_backward_17: None, _foreach_addcdiv: None, copy__750: None}",147456.0,0.016725333407521248,NodeType.PARAM,160305664,160305664,160305664,convolution_2,convolution_2,convolution_backward_17,copy__750,copy__750
7,arg0_8,placeholder,arg0_8,[],"{cudnn_batch_norm_2: None, cudnn_batch_norm_backward_17: None, _foreach_addcdiv: None, copy__751: None}",256.0,0.01740800030529499,NodeType.PARAM,160305664,160305664,160305664,cudnn_batch_norm_2,cudnn_batch_norm_2,cudnn_batch_norm_backward_17,copy__751,copy__751
8,arg0_9,placeholder,arg0_9,[],"{cudnn_batch_norm_2: None, _foreach_addcdiv: None, copy__752: None}",256.0,0.016725333407521248,NodeType.PARAM,160305664,160305664,160305664,cudnn_batch_norm_2,cudnn_batch_norm_2,_foreach_addcdiv,copy__752,copy__752
9,arg0_10,placeholder,arg0_10,[],"{convolution_3: None, convolution_backward_16: None, _foreach_addcdiv: None, copy__753: None}",147456.0,0.016725333407521248,NodeType.PARAM,160305664,160305664,160305664,convolution_3,convolution_3,convolution_backward_16,copy__753,copy__753
10,arg0_11,placeholder,arg0_11,[],"{cudnn_batch_norm_3: None, cudnn_batch_norm_backward_16: None, _foreach_addcdiv: None, copy__754: None}",256.0,0.019114665687084198,NodeType.PARAM,160305664,160305664,160305664,cudnn_batch_norm_3,cudnn_batch_norm_3,cudnn_batch_norm_backward_16,copy__754,copy__754
11,arg0_12,placeholder,arg0_12,[],"{cudnn_batch_norm_3: None, _foreach_addcdiv: None, copy__755: None}",256.0,0.01706666685640812,NodeType.PARAM,160305664,160305664,160305664,cudnn_batch_norm_3,cudnn_batch_norm_3,_foreach_addcdiv,copy__755,copy__755
12,arg0_13,placeholder,arg0_13,[],"{convolution_4: None, convolution_backward_15: None, _foreach_addcdiv: None, copy__756: None}",147456.0,0.016725333407521248,NodeType.PARAM,160305664,160305664,160305664,convolution_4,convolution_4,convolution_backward_15,copy__756,copy__756
13,arg0_14,placeholder,arg0_14,[],"{cudnn_batch_norm_4: None, cudnn_batch_norm_backward_15: None, _foreach_addcdiv: None, copy__757: None}",256.0,0.016725333407521248,NodeType.PARAM,160305664,160305664,160305664,cudnn_batch_norm_4,cudnn_batch_norm_4,cudnn_batch_norm_backward_15,copy__757,copy__757
14,arg0_15,placeholder,arg0_15,[],"{cudnn_batch_norm_4: None, _foreach_addcdiv: None, copy__758: None}",256.0,0.01706666685640812,NodeType.PARAM,160305664,160305664,160305664,cudnn_batch_norm_4,cudnn_batch_norm_4,_foreach_addcdiv,copy__758,copy__758
15,arg0_16,placeholder,arg0_16,[],"{convolution_5: None, convolution_backward_14: None, _foreach_addcdiv: None, copy__759: None}",294912.0,0.016725333407521248,NodeType.PARAM,160305664,160305664,160305664,convolution_5,convolution_5,convolution_backward_14,copy__759,copy__759
